used_dim_red_weights,cid,pid,activity,cid_only_predict_proba,pid_only_predict_proba,combined_predict_proba,latent_prob_delta_ratio
False,938,AAB59829,1,0.7072023749351501,0.2081459015607834,0.9347605109214783,0.9528942430354306
False,938,P9WFX0,1,0.7072023749351501,0.6424182057380676,0.877648651599884,0.9528942430354306
False,938,P09622,1,0.7072023749351501,0.5148183703422546,0.9223728179931641,0.9528942430354306
False,938,P50591,1,0.7072023749351501,0.4276866316795349,0.8991636633872986,0.9528942430354306
False,938,Q8TDS4,1,0.7072023749351501,0.08384983241558075,0.9182451367378235,0.9528942430354306
False,938,O94956,1,0.7072023749351501,0.17297472059726715,0.9651163816452026,0.9528942430354306
False,938,P53985,1,0.7072023749351501,0.29092881083488464,0.9695331454277039,0.9528942430354306
False,938,P0AF67,1,0.7072023749351501,0.9241805076599121,0.9456118941307068,0.9528942430354306
False,938,P11411,0,0.7072023749351501,0.6116771697998047,0.9163654446601868,0.9528942430354306
False,938,P98170,0,0.7072023749351501,0.14507849514484406,0.8627827167510986,0.9528942430354306
False,938,P49407,1,0.7072023749351501,0.5058464407920837,0.9342543482780457,0.9528942430354306
False,938,AAG02439,1,0.7072023749351501,0.6519147157669067,0.8914948105812073,0.9528942430354306
False,938,ACA62796,0,0.7072023749351501,0.4859517514705658,0.8238328695297241,0.9528942430354306
False,938,P11021,0,0.7072023749351501,0.6410971879959106,0.9298097491264343,0.9528942430354306
False,938,P08659,0,0.7072023749351501,0.344820499420166,0.9381237626075745,0.9528942430354306
False,938,Q8NCG7,1,0.7072023749351501,0.15460066497325897,0.9280586242675781,0.9528942430354306
False,938,YP_001085402,1,0.7072023749351501,0.5120763182640076,0.9654468297958374,0.9528942430354306
False,938,2ISV_A,0,0.7072023749351501,0.6127452254295349,0.8319926261901855,0.9528942430354306
False,938,P31323,1,0.7072023749351501,0.5575157999992371,0.913316547870636,0.9528942430354306
False,938,O75884,1,0.7072023749351501,0.20205236971378326,0.8586129546165466,0.9528942430354306
False,1986,AAB59829,1,0.36537861824035645,0.2081459015607834,0.661308765411377,0.975912166472348
False,1986,O75884,1,0.36537861824035645,0.20205236971378326,0.5364162921905518,0.975912166472348
False,1986,AAA51985,0,0.36537861824035645,0.13178296387195587,0.5805825591087341,0.975912166472348
False,1986,ABC47431,0,0.36537861824035645,0.6543888449668884,0.6036367416381836,0.975912166472348
False,1986,AAG29538,1,0.36537861824035645,0.7305190563201904,0.7239514589309692,0.975912166472348
False,1986,O15455,1,0.36537861824035645,0.47008591890335083,0.7720299363136292,0.975912166472348
False,1986,1YDA_A,1,0.36537861824035645,0.8758707046508789,0.9097091555595398,0.975912166472348
False,1986,P29972,1,0.36537861824035645,0.39455243945121765,0.6931484937667847,0.975912166472348
False,1986,CAA96025,0,0.36537861824035645,0.2712094187736511,0.6842021346092224,0.975912166472348
False,1986,Q8N1Q1,0,0.36537861824035645,0.5736425518989563,0.6862401962280273,0.975912166472348
False,1986,P40881,1,0.36537861824035645,0.5690265893936157,0.6958135366439819,0.975912166472348
False,1986,CAA84846,0,0.36537861824035645,0.3726910650730133,0.6586965918540955,0.975912166472348
False,1986,P22748,1,0.36537861824035645,0.1621093899011612,0.5990216135978699,0.975912166472348
False,1986,P07451,1,0.36537861824035645,0.45610836148262024,0.608564019203186,0.975912166472348
False,1986,CAQ07474,1,0.36537861824035645,0.019460299983620644,0.21831242740154266,0.975912166472348
False,1986,Q02499,1,0.36537861824035645,0.7174823880195618,0.586248517036438,0.975912166472348
False,1986,Q50565,1,0.36537861824035645,0.5736048817634583,0.6638656854629517,0.975912166472348
False,1986,Q9VTU8,1,0.36537861824035645,0.7107720375061035,0.7856845855712891,0.975912166472348
False,1986,Q9Y2D0,0,0.36537861824035645,0.2195882350206375,0.6139993071556091,0.975912166472348
False,1986,Q31FD6,1,0.36537861824035645,0.2619144022464752,0.5964135527610779,0.975912166472348
False,1986,P23280,0,0.36537861824035645,0.1423429250717163,0.544384241104126,0.975912166472348
False,1986,EMB09144,0,0.36537861824035645,0.5038323402404785,0.5748875141143799,0.975912166472348
False,1986,YP_815859,1,0.36537861824035645,0.36020976305007935,0.7438666224479675,0.975912166472348
False,1986,Q4U2R8,1,0.36537861824035645,0.31704068183898926,0.6302247643470764,0.975912166472348
False,1986,P35218,0,0.36537861824035645,0.23730912804603577,0.5777706503868103,0.975912166472348
False,1986,O75493,0,0.36537861824035645,0.2496468722820282,0.8291857242584229,0.975912166472348
False,1986,AAA51534,0,0.36537861824035645,0.7461248636245728,0.7183640003204346,0.975912166472348
False,1986,3R16_A,1,0.36537861824035645,0.8543627858161926,0.9058717489242554,0.975912166472348
False,1986,P00918,1,0.36537861824035645,0.8435164093971252,0.8953961133956909,0.975912166472348
False,1986,ABJ55414,1,0.36537861824035645,0.3377346396446228,0.6399416327476501,0.975912166472348
False,1986,BAC78638,0,0.36537861824035645,0.9082691073417664,0.8150962591171265,0.975912166472348
False,1986,P52209,1,0.36537861824035645,0.40150099992752075,0.6866969466209412,0.975912166472348
False,1986,P00915,1,0.36537861824035645,0.47051453590393066,0.5902115106582642,0.975912166472348
False,1986,AAD17299,0,0.36537861824035645,0.7016373872756958,0.5827414989471436,0.975912166472348
False,1986,Q9F4F7,0,0.36537861824035645,0.3591480553150177,0.7265426516532898,0.975912166472348
False,1986,CCE37082,0,0.36537861824035645,0.6221585273742676,0.6918854117393494,0.975912166472348
False,1986,3DBU_A,1,0.36537861824035645,0.8417796492576599,0.8676958680152893,0.975912166472348
False,37542,AAB59829,0,0.15566875040531158,0.2081459015607834,0.6830230951309204,0.9634982464032326
False,37542,CAA96025,0,0.15566875040531158,0.2712094187736511,0.7623820900917053,0.9634982464032326
False,37542,YP_815859,0,0.15566875040531158,0.36020976305007935,0.7419536709785461,0.9634982464032326
False,37542,Q9F4F7,0,0.15566875040531158,0.3591480553150177,0.6525407433509827,0.9634982464032326
False,37542,BAC78637,0,0.15566875040531158,0.5437471270561218,0.7585393786430359,0.9634982464032326
False,37542,Q05DJ8,0,0.15566875040531158,0.33324554562568665,0.6517334580421448,0.9634982464032326
False,37542,Q99VQ4,0,0.15566875040531158,0.2710307538509369,0.665250301361084,0.9634982464032326
False,37542,1DE9_A,0,0.15566875040531158,0.3375876247882843,0.5671308636665344,0.9634982464032326
False,37542,EDT84149,0,0.15566875040531158,0.39108946919441223,0.675296425819397,0.9634982464032326
False,37542,NP_988635,0,0.15566875040531158,0.8251278400421143,0.4837490916252136,0.9634982464032326
False,445580,AAB59829,0,0.2139584720134735,0.2081459015607834,0.5537747144699097,0.9733303370752808
False,445580,Q9F4F7,1,0.2139584720134735,0.3591480553150177,0.41069701313972473,0.9733303370752808
False,445580,Q8TDS5,0,0.2139584720134735,0.19430705904960632,0.6142033934593201,0.9733303370752808
False,445580,P48443,1,0.2139584720134735,0.16500990092754364,0.4451318681240082,0.9733303370752808
False,445580,P28702,1,0.2139584720134735,0.12585954368114471,0.48420101404190063,0.9733303370752808
False,445580,P19793,1,0.2139584720134735,0.13213615119457245,0.3943890631198883,0.9733303370752808
False,4100,AAB59829,0,0.15301267802715302,0.2081459015607834,0.29055190086364746,0.9234916509364852
False,4100,2ISV_A,0,0.15301267802715302,0.6127452254295349,0.24589020013809204,0.9234916509364852
False,4100,XP_717710,0,0.15301267802715302,0.6103458404541016,0.21904267370700836,0.9234916509364852
False,4100,AAG29538,0,0.15301267802715302,0.7305190563201904,0.4110408425331116,0.9234916509364852
False,4100,P22748,1,0.15301267802715302,0.1621093899011612,0.28548765182495117,0.9234916509364852
False,4100,Q02499,0,0.15301267802715302,0.7174823880195618,0.25836125016212463,0.9234916509364852
False,4100,Q9Y2D0,0,0.15301267802715302,0.2195882350206375,0.2686254382133484,0.9234916509364852
False,4100,EMB09144,0,0.15301267802715302,0.5038323402404785,0.2909923493862152,0.9234916509364852
False,4100,YP_815859,0,0.15301267802715302,0.36020976305007935,0.4744409918785095,0.9234916509364852
False,4100,P00918,1,0.15301267802715302,0.8435164093971252,0.6102624535560608,0.9234916509364852
False,4100,BAC78638,0,0.15301267802715302,0.9082691073417664,0.5289779305458069,0.9234916509364852
False,4100,P00915,1,0.15301267802715302,0.47051453590393066,0.2510203719139099,0.9234916509364852
False,4100,P08684,1,0.15301267802715302,0.6870488524436951,0.6334995031356812,0.9234916509364852
False,4100,Q99VQ4,0,0.15301267802715302,0.2710307538509369,0.28140562772750854,0.9234916509364852
False,4100,AAS58777,0,0.15301267802715302,0.22031541168689728,0.3040983974933624,0.9234916509364852
False,4100,CAI16307,0,0.15301267802715302,0.13137401640415192,0.184763103723526,0.9234916509364852
False,4100,YP_815860,0,0.15301267802715302,0.6971467733383179,0.2687739431858063,0.9234916509364852
